station,date,daily_entries
103 ST,2013-03-03,19074.0
103 ST,2013-03-04,29026.0
103 ST,2013-03-05,35042.0
103 ST,2013-03-06,35683.0
103 ST,2013-03-07,35097.0
103 ST,2013-03-08,34813.0
103 ST,2013-03-09,25281.0
103 ST,2013-03-10,20301.0
103 ST,2013-03-11,30132.0
103 ST,2013-03-12,35594.0
103 ST,2013-03-13,35503.0
103 ST,2013-03-14,36634.0
103 ST,2013-03-15,37312.0
103 ST,2013-03-16,25919.0
103 ST,2013-03-17,20089.0
103 ST,2013-03-18,30482.0
103 ST,2013-03-19,34103.0
103 ST,2013-03-20,35563.0
103 ST,2013-03-21,35579.0
103 ST,2013-03-22,35694.0
103 ST,2013-03-23,24409.0
103 ST,2013-03-24,18183.0
103 ST,2013-03-25,26722.0
103 ST,2013-03-26,29189.0
103 ST,2013-03-27,30211.0
103 ST,2013-03-28,31171.0
103 ST,2013-03-29,29420.0
103 ST,2013-03-30,22950.0
103 ST,2013-03-31,18354.0
103 ST,2013-04-01,26333.0
103 ST,2013-04-02,30884.0
103 ST,2013-04-03,35093.0
103 ST,2013-04-04,35953.0
103 ST,2013-04-05,36161.0
103 ST,2013-04-06,26694.0
103 ST,2013-04-07,20919.0
103 ST,2013-04-08,30570.0
103 ST,2013-04-09,35361.0
103 ST,2013-04-10,36474.0
103 ST,2013-04-11,35915.0
103 ST,2013-04-12,35789.0
103 ST,2013-04-13,25773.0
103 ST,2013-04-14,20145.0
103 ST,2013-04-15,31178.0
103 ST,2013-04-16,35318.0
103 ST,2013-04-17,35508.0
103 ST,2013-04-18,36492.0
103 ST,2013-04-19,35746.0
103 ST,2013-04-20,25812.0
103 ST,2013-04-21,19406.0
103 ST,2013-04-22,30350.0
103 ST,2013-04-23,35249.0
103 ST,2013-04-24,35988.0
103 ST,2013-04-25,36348.0
103 ST,2013-04-26,36221.0
103 ST,2013-04-27,26424.0
103 ST,2013-04-28,21027.0
103 ST,2013-04-29,31254.0
103 ST,2013-04-30,34603.0
103 ST,2013-05-01,36732.0
103 ST,2013-05-02,36441.0
103 ST,2013-05-03,36909.0
103 ST,2013-05-04,27205.0
103 ST,2013-05-05,21886.0
103 ST,2013-05-06,30950.0
103 ST,2013-05-07,35489.0
103 ST,2013-05-08,35992.0
103 ST,2013-05-09,36128.0
103 ST,2013-05-10,36662.0
103 ST,2013-05-11,26704.0
103 ST,2013-05-12,20451.0
103 ST,2013-05-13,31223.0
103 ST,2013-05-14,35439.0
103 ST,2013-05-15,36242.0
103 ST,2013-05-16,35731.0
103 ST,2013-05-17,36801.0
103 ST,2013-05-18,27475.0
103 ST,2013-05-19,22238.0
103 ST,2013-05-20,30835.0
103 ST,2013-05-21,35996.0
103 ST,2013-05-22,37046.0
103 ST,2013-05-23,36312.0
103 ST,2013-05-24,35782.0
103 ST,2013-05-25,24413.0
103 ST,2013-05-26,19931.0
103 ST,2013-05-27,18905.0
103 ST,2013-05-28,31934.0
103 ST,2013-05-29,35570.0
103 ST,2013-05-30,33737.0
103 ST,2013-05-31,36372.0
103 ST,2013-06-01,27275.0
103 ST,2013-06-02,22761.0
103 ST,2013-06-03,31317.0
103 ST,2013-06-04,35484.0
103 ST,2013-06-05,36757.0
103 ST,2013-06-06,35901.0
103 ST,2013-06-07,36059.0
103 ST,2013-06-08,25705.0
103 ST,2013-06-09,24246.0
103 ST,2013-06-10,31803.0
103 ST,2013-06-11,35122.0
103 ST,2013-06-12,37147.0
103 ST,2013-06-13,36185.0
103 ST,2013-06-14,34585.0
103 ST,2013-06-15,26424.0
103 ST,2013-06-16,21372.0
103 ST,2013-06-17,30562.0
103 ST,2013-06-18,34197.0
103 ST,2013-06-19,34623.0
103 ST,2013-06-20,35421.0
103 ST,2013-06-21,35488.0
103 ST,2013-06-22,26581.0
103 ST,2013-06-23,21210.0
103 ST,2013-06-24,30692.0
103 ST,2013-06-25,33892.0
103 ST,2013-06-26,35405.0
103 ST,2013-06-27,33550.0
103 ST,2013-06-28,33209.0
103 ST,2013-06-29,26938.0
103 ST,2013-06-30,21622.0
103 ST,2013-07-01,27823.0
103 ST,2013-07-02,31192.0
103 ST,2013-07-03,32658.0
103 ST,2013-07-04,22471.0
103 ST,2013-07-05,25485.0
103 ST,2013-07-06,21566.0
103 ST,2013-07-07,18033.0
103 ST,2013-07-08,28263.0
103 ST,2013-07-09,32693.0
103 ST,2013-07-10,33667.0
103 ST,2013-07-11,33123.0
103 ST,2013-07-12,33409.0
103 ST,2013-07-13,23970.0
103 ST,2013-07-14,20306.0
103 ST,2013-07-15,29012.0
103 ST,2013-07-16,32662.0
103 ST,2013-07-17,33500.0
103 ST,2013-07-18,33394.0
103 ST,2013-07-19,32255.0
103 ST,2013-07-20,23328.0
103 ST,2013-07-21,19381.0
103 ST,2013-07-22,28477.0
103 ST,2013-07-23,32846.0
103 ST,2013-07-24,33507.0
103 ST,2013-07-25,33962.0
103 ST,2013-07-26,33041.0
103 ST,2013-07-27,25027.0
103 ST,2013-07-28,19921.0
103 ST,2013-07-29,28572.0
103 ST,2013-07-30,32821.0
103 ST,2013-07-31,33132.0
103 ST,2013-08-01,33531.0
103 ST,2013-08-02,32332.0
103 ST,2013-08-03,24275.0
103 ST,2013-08-04,19265.0
103 ST,2013-08-05,28060.0
103 ST,2013-08-06,31786.0
103 ST,2013-08-07,32360.0
103 ST,2013-08-08,32851.0
103 ST,2013-08-09,31714.0
103 ST,2013-08-10,24046.0
103 ST,2013-08-11,19896.0
103 ST,2013-08-12,27348.0
103 ST,2013-08-13,31137.0
103 ST,2013-08-14,32152.0
103 ST,2013-08-15,32354.0
103 ST,2013-08-16,31904.0
103 ST,2013-08-17,24557.0
103 ST,2013-08-18,19983.0
103 ST,2013-08-19,26481.0
103 ST,2013-08-20,30728.0
103 ST,2013-08-21,31452.0
103 ST,2013-08-22,31045.0
103 ST,2013-08-23,30870.0
103 ST,2013-08-24,24252.0
103 ST,2013-08-25,20172.0
103 ST,2013-08-26,27272.0
103 ST,2013-08-27,30388.0
103 ST,2013-08-28,31810.0
103 ST,2013-08-29,32915.0
103 ST,2013-08-30,30653.0
103 ST,2013-08-31,24148.0
103 ST,2013-09-01,19585.0
103 ST,2013-09-02,17491.0
103 ST,2013-09-03,28594.0
103 ST,2013-09-04,32773.0
103 ST,2013-09-05,31554.0
103 ST,2013-09-06,32052.0
103 ST,2013-09-07,25153.0
103 ST,2013-09-08,20629.0
103 ST,2013-09-09,31314.0
103 ST,2013-09-10,34894.0
103 ST,2013-09-11,35479.0
103 ST,2013-09-12,35454.0
103 ST,2013-09-13,34663.0
103 ST,2013-09-14,25228.0
103 ST,2013-09-15,21054.0
103 ST,2013-09-16,31638.0
103 ST,2013-09-17,36348.0
103 ST,2013-09-18,36638.0
103 ST,2013-09-19,37091.0
103 ST,2013-09-20,35974.0
103 ST,2013-09-21,26820.0
103 ST,2013-09-22,20853.0
103 ST,2013-09-23,31779.0
103 ST,2013-09-24,36107.0
103 ST,2013-09-25,36738.0
103 ST,2013-09-26,36417.0
103 ST,2013-09-27,36463.0
103 ST,2013-09-28,25394.0
103 ST,2013-09-29,18701.0
103 ST,2013-09-30,30476.0
103 ST,2013-10-01,35880.0
103 ST,2013-10-02,36259.0
103 ST,2013-10-03,35145.0
103 ST,2013-10-04,37111.0
103 ST,2013-10-05,25425.0
103 ST,2013-10-06,19078.0
103 ST,2013-10-07,30567.0
103 ST,2013-10-08,35864.0
103 ST,2013-10-09,37224.0
103 ST,2013-10-10,37314.0
103 ST,2013-10-11,36869.0
103 ST,2013-10-12,25756.0
103 ST,2013-10-13,21331.0
103 ST,2013-10-14,24974.0
103 ST,2013-10-15,34804.0
103 ST,2013-10-16,36925.0
103 ST,2013-10-17,36764.0
103 ST,2013-10-18,37555.0
103 ST,2013-10-19,26872.0
103 ST,2013-10-20,21835.0
103 ST,2013-10-21,31438.0
103 ST,2013-10-22,36505.0
103 ST,2013-10-23,36575.0
103 ST,2013-10-24,37304.0
103 ST,2013-10-25,38312.0
103 ST,2013-10-26,27440.0
103 ST,2013-10-27,21421.0
103 ST,2013-10-28,31591.0
103 ST,2013-10-29,36504.0
103 ST,2013-10-30,37142.0
103 ST,2013-10-31,36290.0
103 ST,2013-11-01,36972.0
103 ST,2013-11-02,27214.0
103 ST,2013-11-03,22742.0
103 ST,2013-11-04,31392.0
103 ST,2013-11-05,34245.0
103 ST,2013-11-06,35919.0
103 ST,2013-11-07,37048.0
103 ST,2013-11-08,37306.0
103 ST,2013-11-09,28827.0
103 ST,2013-11-10,21821.0
103 ST,2013-11-11,26249.0
103 ST,2013-11-12,34266.0
103 ST,2013-11-13,36404.0
103 ST,2013-11-14,36588.0
103 ST,2013-11-15,37257.0
103 ST,2013-11-16,27192.0
103 ST,2013-11-17,21785.0
103 ST,2013-11-18,29392.0
103 ST,2013-11-19,35869.0
103 ST,2013-11-20,35889.0
103 ST,2013-11-21,36765.0
103 ST,2013-11-22,36420.0
103 ST,2013-11-23,27249.0
103 ST,2013-11-24,21787.0
103 ST,2013-11-25,29439.0
103 ST,2013-11-26,35894.0
103 ST,2013-11-27,35256.0
103 ST,2013-11-28,22239.0
103 ST,2013-11-29,22461.0
103 ST,2013-11-30,22128.0
103 ST,2013-12-01,18563.0
103 ST,2013-12-02,29413.0
103 ST,2013-12-03,35175.0
103 ST,2013-12-04,36036.0
103 ST,2013-12-05,36511.0
103 ST,2013-12-06,37312.0
103 ST,2013-12-07,27992.0
103 ST,2013-12-08,22806.0
103 ST,2013-12-09,29757.0
103 ST,2013-12-10,35232.0
103 ST,2013-12-11,36258.0
103 ST,2013-12-12,36582.0
103 ST,2013-12-13,36659.0
103 ST,2013-12-14,29572.0
103 ST,2013-12-15,21952.0
103 ST,2013-12-16,30562.0
103 ST,2013-12-17,36138.0
103 ST,2013-12-18,35923.0
103 ST,2013-12-19,36705.0
103 ST,2013-12-20,36242.0
103 ST,2013-12-21,26878.0
103 ST,2013-12-22,21298.0
103 ST,2013-12-23,25909.0
103 ST,2013-12-24,27511.0
103 ST,2013-12-25,17308.0
103 ST,2013-12-26,21522.0
103 ST,2013-12-27,27026.0
103 ST,2013-12-28,23263.0
103 ST,2013-12-29,18748.0
103 ST,2013-12-30,25110.0
103 ST,2013-12-31,29083.0
103 ST-CORONA,2013-01-01,0.0
103 ST-CORONA,2013-01-02,16784.0
103 ST-CORONA,2013-01-03,18286.0
103 ST-CORONA,2013-01-04,18527.0
103 ST-CORONA,2013-01-05,14789.0
103 ST-CORONA,2013-01-06,11315.0
103 ST-CORONA,2013-01-07,18124.0
103 ST-CORONA,2013-01-08,19356.0
103 ST-CORONA,2013-01-09,18829.0
103 ST-CORONA,2013-01-10,19211.0
103 ST-CORONA,2013-01-11,18740.0
103 ST-CORONA,2013-01-12,14672.0
103 ST-CORONA,2013-01-13,11648.0
103 ST-CORONA,2013-01-14,17802.0
103 ST-CORONA,2013-01-15,19077.0
103 ST-CORONA,2013-01-16,18473.0
103 ST-CORONA,2013-01-17,19244.0
103 ST-CORONA,2013-01-18,19451.0
103 ST-CORONA,2013-01-19,14961.0
103 ST-CORONA,2013-01-20,12014.0
103 ST-CORONA,2013-01-21,14401.0
103 ST-CORONA,2013-01-22,17722.0
103 ST-CORONA,2013-01-23,17423.0
103 ST-CORONA,2013-01-24,17282.0
103 ST-CORONA,2013-01-25,17066.0
103 ST-CORONA,2013-01-26,13844.0
103 ST-CORONA,2013-01-27,11578.0
103 ST-CORONA,2013-01-28,17648.0
103 ST-CORONA,2013-01-29,19386.0
103 ST-CORONA,2013-01-30,19254.0
103 ST-CORONA,2013-01-31,19459.0
103 ST-CORONA,2013-02-01,19587.0
103 ST-CORONA,2013-02-02,15104.0
103 ST-CORONA,2013-02-03,11525.0
103 ST-CORONA,2013-02-04,18731.0
103 ST-CORONA,2013-02-05,19258.0
103 ST-CORONA,2013-02-06,19239.0
103 ST-CORONA,2013-02-07,19853.0
103 ST-CORONA,2013-02-08,18590.0
103 ST-CORONA,2013-02-09,10865.0
103 ST-CORONA,2013-02-10,11046.0
103 ST-CORONA,2013-02-11,19080.0
103 ST-CORONA,2013-02-12,18512.0
103 ST-CORONA,2013-02-13,20309.0
103 ST-CORONA,2013-02-14,20272.0
103 ST-CORONA,2013-02-15,19937.0
103 ST-CORONA,2013-02-16,15423.0
103 ST-CORONA,2013-02-17,12377.0
103 ST-CORONA,2013-02-18,14012.0
103 ST-CORONA,2013-02-19,17928.0
103 ST-CORONA,2013-02-20,17226.0
103 ST-CORONA,2013-02-21,19601.0
103 ST-CORONA,2013-02-22,19318.0
103 ST-CORONA,2013-02-23,14807.0
